Monthly subscription fee: $0–30 (inclusive)
Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
API cost/mo = this row's adopted monthly allowance priced at the provider's official metered rates (same standard workload weighting); the bracketed figure is that amount ÷ the monthly fee, i.e. how many times the subscription fee the same tokens would cost at list price. Below 1× means the subscription costs more than buying the same tokens on the API. * = the rate is not a first-party rate card (vendor page is JS-rendered or the model is open-weight; a named gateway or tracker is used, low confidence); ‡ = this row's allowance was itself derived from a sibling model by a list-price ratio, so the figure repeats that row and is not independent evidence for this model. - = no defensible public rate found; left blank rather than invented. Cache writes are not modeled, so the figure is a floor.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                Monthly fee  Served model                  Monthly tokens (B)  USD/MTok  API cost/mo      Confidence
46   OpenCode Go                         USD 10       MiniMax M3                    0.8677              0.01152   60 (6×)          medium
47   OpenCode Go                         USD 10       MiniMax M2.7                  0.8677              0.01152   60 (6×)          medium
48   OpenCode Go                         USD 10       MiniMax M2.5                  0.8677              0.01152   35 (3.46×)       medium
49   Ollama Pro                          USD 20       MiniMax M2.7                  0.8677              0.02305   60 (3×)          medium
50   OpenCode Go                         USD 10       Qwen3.6 Plus                  0.8571              0.01167   60 (6×)          medium
51   Command Code GOAT                   USD 10       GPT 5.6 Luna                  0.7143              0.014     20 (2×)          medium
52   Command Code GOAT                   USD 10       MiniMax M3                    0.6797              0.01471   47 (4.7×)        medium
53   GLM Coding Lite (v3 ¥118) Peak      CNY 118      GLM 5.3 Flash                 0.642               0.02711   22 (1.26×)       high
54   GLM Coding Lite (v2 ¥49) Peak       CNY 49       GLM 5.3 Flash                 0.642               0.01126   22 (3.04×)       high
55   ChatGPT Plus                        USD 20       GPT 5.6 Sol                   0.616               0.03247   336 (16.82×)     medium
56   MiniMax Token Plan Plus             CNY 49       MiniMax M3                    0.6                 0.01205   41 (5.74×)       high
57   MiniMax Token Plan Plus             CNY 49       MiniMax M2.7                  0.6                 0.01205   41 (5.74×)‡      medium
58   OpenCode Go                         USD 10       GPT 5.6 Luna                  0.5357              0.01867   15 (1.5×)        medium
59   SuperGrok                           USD 30       Grok 4.6                      0.509               0.05894   281 (9.36×)      high
