plan_id,plan,channel,fee_usd,group,multiple,cost_usd_month,models,model_count_in_group,inherited,third_party_rate,plan_model_count,plan_value_group_count,plan_varies,plan_best_multiple,plan_best_model,plan_worst_multiple,plan_worst_model
chatgpt_pro_5x,ChatGPT Pro 5x,OpenAI,100.0,exception,10.52,1051.57,GPT 5.6 Luna,1,False,False,4,2,False,16.82,GPT 5.6 Sol,10.52,GPT 5.6 Luna
glm_coding_lite_cn_old_mid,GLM Coding Lite (老客 ¥49) 中间值,Zhipu,7.23,shared,13.11,94.78,GLM 5.3,1,False,False,2,2,False,13.11,GLM 5.3,4.55,GLM 5.3 Flash
glm_coding_lite_cn_old_mid,GLM Coding Lite (老客 ¥49) 中间值,Zhipu,7.23,exception,4.55,32.92,GLM 5.3 Flash,1,False,False,2,2,False,13.11,GLM 5.3,4.55,GLM 5.3 Flash
cursor_pro,Cursor Pro,Cursor,20.0,shared,12.96,259.2,Composer 2.5 | Grok 4.6,2,False,False,2,1,False,12.96,Grok 4.6,12.96,Composer 2.5
glm_coding_max_cn_old_peak,GLM Coding Max (老客 ¥469) 忙时,Zhipu,69.19,shared,12.8,885.94,GLM 5.3,1,False,False,2,2,False,12.8,GLM 5.3,4.44,GLM 5.3 Flash
glm_coding_max_cn_old_peak,GLM Coding Max (老客 ¥469) 忙时,Zhipu,69.19,exception,4.44,307.41,GLM 5.3 Flash,1,False,False,2,2,False,12.8,GLM 5.3,4.44,GLM 5.3 Flash
supergrok_plus,SuperGrok Plus,xAI,100.0,shared,11.25,1125.06,Grok 4.6,1,False,False,1,1,False,11.25,Grok 4.6,11.25,Grok 4.6
glm_coding_max_cn_new_offpeak,GLM Coding Max (新客 ¥1078) 闲时,Zhipu,159.03,shared,11.14,1771.87,GLM 5.3,1,False,False,2,2,False,11.14,GLM 5.3,3.87,GLM 5.3 Flash
glm_coding_max_cn_new_offpeak,GLM Coding Max (新客 ¥1078) 闲时,Zhipu,159.03,exception,3.87,614.85,GLM 5.3 Flash,1,False,False,2,2,False,11.14,GLM 5.3,3.87,GLM 5.3 Flash
glm_coding_pro_cn_new_offpeak,GLM Coding Pro (新客 ¥538) 闲时,Zhipu,79.37,shared,9.57,759.46,GLM 5.3,1,False,False,2,2,False,9.57,GLM 5.3,3.32,GLM 5.3 Flash
glm_coding_pro_cn_new_offpeak,GLM Coding Pro (新客 ¥538) 闲时,Zhipu,79.37,exception,3.32,263.5,GLM 5.3 Flash,1,False,False,2,2,False,9.57,GLM 5.3,3.32,GLM 5.3 Flash
supergrok,SuperGrok,xAI,30.0,shared,9.36,280.71,Grok 4.6,1,False,False,2,2,False,9.36,Grok 4.6,6.05,Grok 4.5
supergrok,SuperGrok,xAI,30.0,exception,6.05,181.46,Grok 4.5,1,False,False,2,2,False,9.36,Grok 4.6,6.05,Grok 4.5
supergrok_heavy,SuperGrok Heavy,xAI,300.0,shared,9.36,2807.13,Grok 4.6,1,False,False,2,2,False,9.36,Grok 4.6,6.05,Grok 4.5
supergrok_heavy,SuperGrok Heavy,xAI,300.0,exception,6.05,1814.58,Grok 4.5,1,False,False,2,2,False,9.36,Grok 4.6,6.05,Grok 4.5
glm_coding_lite_cn_old_peak,GLM Coding Lite (老客 ¥49) 忙时,Zhipu,7.23,shared,8.77,63.39,GLM 5.3,1,False,False,2,2,False,8.77,GLM 5.3,3.04,GLM 5.3 Flash
glm_coding_lite_cn_old_peak,GLM Coding Lite (老客 ¥49) 忙时,Zhipu,7.23,exception,3.04,21.97,GLM 5.3 Flash,1,False,False,2,2,False,8.77,GLM 5.3,3.04,GLM 5.3 Flash
cursor_ultra_fast,Cursor Ultra (Fast),Cursor,200.0,shared,8.48,1695.31,Grok 4.6,1,False,False,1,1,False,8.48,Grok 4.6,8.48,Grok 4.6
glm_coding_max_cn_new_mid,GLM Coding Max (新客 ¥1078) 中间值,Zhipu,159.03,shared,8.36,1329.05,GLM 5.3,1,False,False,2,2,False,8.36,GLM 5.3,2.9,GLM 5.3 Flash
glm_coding_max_cn_new_mid,GLM Coding Max (新客 ¥1078) 中间值,Zhipu,159.03,exception,2.9,461.11,GLM 5.3 Flash,1,False,False,2,2,False,8.36,GLM 5.3,2.9,GLM 5.3 Flash
supergrok_lite,SuperGrok Lite,xAI,10.0,shared,8.27,82.72,Grok 4.6,1,False,False,1,1,False,8.27,Grok 4.6,8.27,Grok 4.6
kimi_moderato_cn,Kimi 会员 99,Kimi,14.6,shared,8.13,118.75,Kimi K3,1,False,False,2,2,False,8.13,Kimi K3,4.72,Kimi K2.7 Code
kimi_moderato_cn,Kimi 会员 99,Kimi,14.6,exception,4.72,68.98,Kimi K2.7 Code,1,False,False,2,2,False,8.13,Kimi K3,4.72,Kimi K2.7 Code
cursor_ultra_composer_fast,Cursor Ultra (Composer Fast),Cursor,200.0,shared,7.57,1514.09,Composer 2.5,1,False,False,1,1,False,7.57,Composer 2.5,7.57,Composer 2.5
glm_coding_lite_cn_new_offpeak,GLM Coding Lite (新客 ¥118) 闲时,Zhipu,17.41,shared,7.26,126.48,GLM 5.3,1,False,False,2,2,False,7.26,GLM 5.3,2.52,GLM 5.3 Flash
glm_coding_lite_cn_new_offpeak,GLM Coding Lite (新客 ¥118) 闲时,Zhipu,17.41,exception,2.52,43.91,GLM 5.3 Flash,1,False,False,2,2,False,7.26,GLM 5.3,2.52,GLM 5.3 Flash
glm_coding_pro_cn_new_mid,GLM Coding Pro (新客 ¥538) 中间值,Zhipu,79.37,shared,7.18,569.6,GLM 5.3,1,False,False,2,2,False,7.18,GLM 5.3,2.49,GLM 5.3 Flash
glm_coding_pro_cn_new_mid,GLM Coding Pro (新客 ¥538) 中间值,Zhipu,79.37,exception,2.49,197.62,GLM 5.3 Flash,1,False,False,2,2,False,7.18,GLM 5.3,2.49,GLM 5.3 Flash
minimax_token_ultra_cn,MiniMax Token Plan Ultra,MiniMax,69.19,shared,7.1,490.97,MiniMax M3,1,False,False,1,1,False,7.1,MiniMax M3,7.1,MiniMax M3
minimax_token_max_cn,MiniMax Token Plan Max,MiniMax,17.55,shared,7.09,124.47,MiniMax M3,1,False,False,1,1,False,7.09,MiniMax M3,7.09,MiniMax M3
cursor_pro_plus_composer_fast,Cursor Pro+ (Composer Fast),Cursor,60.0,shared,6.73,403.75,Composer 2.5,1,False,False,1,1,False,6.73,Composer 2.5,6.73,Composer 2.5
minimax_token_max_global,MiniMax Token Plan Max (Global),MiniMax,55.0,shared,6.41,352.67,MiniMax M3,1,False,False,1,1,False,6.41,MiniMax M3,6.41,MiniMax M3
opencode_go,OpenCode Go,OpenCode,10.0,shared,6.0,60.01,DeepSeek V4 Flash | GLM 5.1 | GLM 5.2 | Kimi K2.6 | Kimi K2.7 Code | MiniMax M2.7 | MiniMax M3 | Muse Spark 1.2 Contributor | Qwen3.6 Plus,9,False,True,26,12,True,21.37,MiMo V2.5 Pro,1.26,Qwen3.8 Max
opencode_go,OpenCode Go,OpenCode,10.0,exception,21.37,213.72,MiMo V2.5 Pro,1,False,True,26,12,True,21.37,MiMo V2.5 Pro,1.26,Qwen3.8 Max
opencode_go,OpenCode Go,OpenCode,10.0,exception,15.75,157.5,MiMo V2.5,1,False,True,26,12,True,21.37,MiMo V2.5 Pro,1.26,Qwen3.8 Max
opencode_go,OpenCode Go,OpenCode,10.0,exception,14.94,149.37,LongCat 2.0,1,False,True,26,12,True,21.37,MiMo V2.5 Pro,1.26,Qwen3.8 Max
opencode_go,OpenCode Go,OpenCode,10.0,exception,10.4,103.98,Qwen3.7 Plus,1,False,False,26,12,True,21.37,MiMo V2.5 Pro,1.26,Qwen3.8 Max
opencode_go,OpenCode Go,OpenCode,10.0,exception,3.46,34.62,MiniMax M2.5,1,False,False,26,12,True,21.37,MiMo V2.5 Pro,1.26,Qwen3.8 Max
opencode_go,OpenCode Go,OpenCode,10.0,exception,3.0,30.0,DeepSeek V4 Flash Vision Exp | DeepSeek V4 Pro | Hy4 Preview,3,False,False,26,12,True,21.37,MiMo V2.5 Pro,1.26,Qwen3.8 Max
opencode_go,OpenCode Go,OpenCode,10.0,exception,2.86,28.57,Qwen3.8 Flash,1,False,False,26,12,True,21.37,MiMo V2.5 Pro,1.26,Qwen3.8 Max
opencode_go,OpenCode Go,OpenCode,10.0,exception,1.71,17.13,Qwen3.7 Max,1,False,False,26,12,True,21.37,MiMo V2.5 Pro,1.26,Qwen3.8 Max
opencode_go,OpenCode Go,OpenCode,10.0,exception,1.64,16.35,Hy3,1,False,True,26,12,True,21.37,MiMo V2.5 Pro,1.26,Qwen3.8 Max
